"prey_id","predator_id","source_id","year_min","year_max","warm_cool_years","odd_even_years","season_min","season_max","month_min","month_max","date_min","date_max","time_min","time_max","lat_min","lat_max","lon_min","lon_max","predator_lowest_taxonomic_level","predator_life_stage","predator_life_stage_min","predator_life_stage_max","predator_freshwater_age","predator_freshwater_age_min","predator_freshwater_age_max","predator_ocean_age","predator_ocean_age_min","predator_ocean_age_max","predator_maturity","predator_maturity_min","predator_maturity_max","predator_length_value_cm","predator_length_min_cm","predator_length_max_cm","predator_weight_value_g","predator_weight_min_g","predator_weight_max_g","predator_subsample_id","predator_sex","hatchery_wild","predator_replicates","predator_notes","gear_type_predator_id1","gear_type_predator_id2","gear_type_predator_id3","gear_type_predator_id4","gear_type_predator_id5","prey_lowest_taxonomic_level","prey_kingdom","prey_phylum","prey_class","prey_order","prey_family","prey_genus","prey_species","prey_life_stage","prey_life_stage_min","prey_life_stage_max","prey_length_value_mm","prey_length_min_mm","prey_length_max_mm","prey_weight_value_mg","prey_weight_min_mg","prey_weight_max_mg","prey_sex","prey_subsample_id","prey_replicates","prey_notes","gear_type_prey_id1","gear_type_prey_id2","gear_type_prey_id3","gear_type_prey_id4","gear_type_prey_id5","biological_parameter","prey_bio_notes","value","mean","error","min","max","units"
177,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Euphausiidae","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae",NA,NA,"calyptopis",NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,25,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,1.45,0.07,NA,NA,"millimeters"
178,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Euphausiacea","Animalia","Arthropoda","Malacostraca","Euphausiacea",NA,NA,NA,"furcilia",NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,8,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,2.87,0.08,NA,NA,"millimeters"
179,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oikopleuridae","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,40,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,3.09,0.08,NA,NA,"millimeters"
180,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polychaeta","Animalia","Annelida","Polychaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,40,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,4.73,0.13,NA,NA,"millimeters"
181,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gastropoda","Animalia","Mollusca","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,9,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,0.38,0.03,NA,NA,"millimeters"
193,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Euphausia pacifica","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","pacifica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,18,24,"millimeters"
194,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Thysanoessa longipes","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","longipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,14,26,"millimeters"
195,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Thysanoessa inspinata","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","inspinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,16,20,"millimeters"
196,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Thysanoessa raschii","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","raschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,22,26,"millimeters"
197,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Euphausiidae","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae",NA,NA,"larvae",NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,6,8,"millimeters"
198,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Neocalanus cristatus","Animalia","Arthropoda","Hexanauplia","Calanoida","Calanidae","Neocalanus","cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,6,7,"millimeters"
199,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Neocalanus plumchrus","Animalia","Arthropoda","Hexanauplia","Calanoida","Calanidae","Neocalanus","plumchrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,2.5,4,"millimeters"
200,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Calanus pacificus","Animalia","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","pacificus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,1.8,2,"millimeters"
201,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Copepoda","Animalia","Arthropoda","Hexanauplia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,2.5,3,"millimeters"
202,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Gaetanus brevispinus","Animalia","Arthropoda","Hexanauplia","Calanoida","Aetideidae","Gaetanus","brevispinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,2.5,3,"millimeters"
203,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Paraeuchaeta elongata","Animalia","Arthropoda","Hexanauplia","Calanoida","Euchaetidae","Paraeuchaeta","elongata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,4,6,"millimeters"
204,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Metridia pacifica","Animalia","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","pacifica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,1.5,2.3,"millimeters"
205,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Metridia okhotensis","Animalia","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","okhotensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,1.8,3,"millimeters"
206,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Themisto japonica","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Themisto","japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,2.4,9,"millimeters"
207,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Primno macropa","Animalia","Arthropoda","Malacostraca","Amphipoda","Phrosinidae","Primno","macropa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,4,9,"millimeters"
208,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Hyperia galba","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperia","galba",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,6,12,"millimeters"
209,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Parasagitta elegans","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Parasagitta","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,17,28,"millimeters"
210,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Oikopleura (Vexillaria) labradoriensis","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","(Vexillaria) labradoriensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,2,3,"millimeters"
211,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Conchoecia","Animalia","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,2,4,"millimeters"
212,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Decapoda","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,2,4,"millimeters"
213,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Brachyura","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,50,60,"millimeters"
214,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Cephalopoda","Animalia","Mollusca","Cephalopoda",NA,NA,NA,NA,"larvae",NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,4,5,"millimeters"
215,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Pteropoda","Animalia","Mollusca","Gastropoda","Pteropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,10,18,"millimeters"
216,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Clione limacina","Animalia","Mollusca","Gastropoda","Pteropoda","Clionidae","Clione","limacina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,3,4.8,"millimeters"
217,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Actinopterygii","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,"larvae",NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,7,48,"millimeters"
218,7137,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus gorbuscha","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Actinopterygii","Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,"ova",NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,3,5,"millimeters"
219,7138,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus keta","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Euphausia pacifica","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","pacifica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,18,24,"millimeters"
220,7138,54,"1992",NA,NA,NA,NA,NA,"January",NA,NA,NA,NA,NA,45,48,145,157,"Oncorhynchus keta","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"unspecified","unspecified",NA,NA,46,NA,NA,NA,NA,"Thysanoessa longipes","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","longipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,14,26,"millimeters"
